names,ra,dec,pmra,pmdec,dm,pepoch,posepoch,dmepoch
J0030+0451,7.614285091249999,4.861029222222222,-5.8465019631042218326,-0.4101273133754306942,55000,55000,55000,4.325943190290434641
J0034-0534,8.590975955416665,-5.576867308333333,7.8303636713587988103,-9.1524659687965755758,55000,55000,55000,13.765255952239225789
J0218+4232,34.52648865833333,42.538161941666665,5.6594034515634966012,-3.8791201721275830505,55000,55000,55000,61.256582371237469697
J0437-4715,69.31623406223791,-47.25253075275593,121.43993281718667407,-71.476201582620186088,54500,54500,54500,2.6445719922201182742
J0610-2100,92.55664775541666,-21.00775873888889,8.9401695668369458581,16.908976311658248584,55000,55000,55000,60.64096255873506228
J0613-0200,93.43323197999999,-2.013118161111111,1.827795952783396292,-10.338557735985926552,55000,55000,55000,38.777534445346590455
J0621+1002,95.34214323999998,10.044092891666667,3.3751648193282169637,-0.13466236540082389547,55000,55000,55000,36.47593177272314989
J0711-6830,107.97578802208332,-68.51317069444444,-15.564585452627883452,14.227426123000022237,54500,54500,54500,18.408368287199309158
J0751+1807,117.78814720749997,18.127357272222223,-2.6994784840847266165,-13.289196607654963835,55000,55000,55000,30.257061875135676127
J0900-3144,135.18313787124998,-31.74191530277778,-0.93793885247187253583,1.8406282635867107225,55000,55000,55000,75.695187558653633748
J1012+5307,153.13932304124995,53.1173056,2.6237122562025093173,-25.458808920674365933,55000,55000,55000,9.0218039505620230617
J1022+1001,65.52302134521902,49.71941132078673,-28.4699784269,4.16118779043,55000,55000,55000,10.254132157331906285
J1024-0719,156.16114741416666,-7.322064986111111,-35.304926904511539195,-48.243940172053795583,55000,55000,55000,6.4863025225499194078
J1045-4509,161.45911275499998,-45.16503438611111,-5.8829824250789183853,4.8554258031878107238,54500,54500,54500,58.081739731093598729
J1455-3330,223.94987448041664,-33.51288340833333,7.9540212454969383164,-1.8450691573083422361,55000,55000,55000,13.558917675608275964
J1600-3053,240.21626390166665,-30.897048794444444,-1.0129938225495708665,-7.122723701187525706,55000,55000,55000,52.323429930928567099
J1603-7202,240.89865625,-72.04242499166666,-2.464078828267817226,-7.3800230295629078818,54500,54500,54500,38.049161487296564808
J1640+2224,250.06977012833332,22.40245586388889,2.1054695274801114419,-11.338266563699893813,55000,55000,55000,18.422985129854585083
J1643-1224,250.90900619013118,-12.416298067082778,6.0045065557657482636,3.9724705812121625021,55000,55000,55000,62.411386984636362505
J1713+0747,258.4563882341666,7.793747925,4.917652466266262986,-3.9173666047005733697,55000,55000,55000,15.99354245637558482
J1721-2457,260.2729079616667,-24.95172155,0.71873149036150049787,-42.176478650283353779,55000,55000,55000,48.623718976981216922
J1730-2304,262.5902839079166,-23.075340405555554,20.343897391508050066,1.6101654216138361872,55000,55000,55000,9.6162351391242452637
J1732-5049,263.1990280079167,-50.81671992222223,-0.43210119974351462183,-9.9099608455397477291,54500,54500,54500,56.836159510131981511
J1738+0333,264.7248598870833,3.5530200666666665,7.0469287032426953599,4.6645519880987090875,55000,55000,55000,33.794269884343415881
J1744-1134,266.12253142416665,-11.581859494444444,18.8002308079080005,-9.4016187121947108109,55000,55000,55000,3.1359019425268103132
J1751-2857,267.88622164541664,-28.962922966666667,-7.4958430761161541724,-5.8049727857902125982,55000,55000,55000,42.89009087772709039
J1801-1417,270.46280559375,-14.2929245,-10.915738249391016502,-3.5067068846652740093,55000,55000,55000,57.213319775487619014
J1802-2124,270.52223016333335,-21.401016144444444,-0.79840321568476374986,-2.9698151887166278145,55000,55000,55000,149.62344977835413437
J1804-2717,271.0880545658333,-27.292036194444446,2.4501698153111720387,-23.221417975760730459,55000,55000,55000,24.631313880486832761
J1824-2452A,276.13336630624997,-24.869677638888888,-0.64076161828735348511,0.87841912307921930287,54500,54500,54500,119.89365436191607033
J1843-1113,280.9219246283333,-11.22529681111111,-1.8561242239606751701,-3.7551222039556311084,55000,55000,55000,59.965168263218452151
J1853+1303,283.48882820999995,13.062241361111111,-1.6028669163985705713,-2.8622861992163513569,55000,55000,55000,30.548208639277437307
J1857+0943,284.40162750624995,9.721446430555556,-2.6587535873579345325,-5.4254725662777885291,55000,55000,55000,13.299327716726970318
J1909-3744,287.4476398970833,-37.737365458333336,-9.5196749327616196675,-35.770809615933919185,55000,55000,55000,10.390735070541449843
J1910+1256,287.540422595,12.940413102777779,0.2506101280152715109,-6.9347213577835758185,55000,55000,55000,38.092129555957015202
J1911+1347,287.9800194858333,13.792884419444444,-2.8506818580252826978,-3.7477405144766459998,55000,55000,55000,30.983274046953746492
J1911-1114,287.9553430220833,-11.239578122222222,-13.94793538124950385,-8.1493094677279873323,55000,55000,55000,31.070511392606484926
J1918-0642,289.70013800916666,-6.709691577777778,-7.1381625706869864913,-5.9217933253919279191,55000,55000,55000,26.610910248948512235
J1939+2134,294.91067175291664,21.58309046388889,0.063119441592251870451,-0.40889669598227495369,55000,55000,55000,71.025637699391160396
J1955+2908,298.8661489208333,29.145405363888887,-0.81162452895596260712,-4.0654680912293794021,55000,55000,55000,104.46602422967283427
J2010-1323,302.69133598625,-13.398907516666666,2.5448778475163544249,-5.9829467537495670832,55000,55000,55000,22.1841153086498937
J2019+2425,304.88308706583325,24.420836694444446,-7.8741019413173468319,-18.701381206915801619,55000,55000,55000,17.097134141404065477
J2033+1734,308.3646423708333,17.582923372222222,-5.9249172043837212234,-7.9783636914111915454,55000,55000,55000,24.999318380723469648
J2124-3358,321.1826992370833,-33.979144072222226,-14.13649780147700484,-50.0472338106625349,55000,55000,55000,4.6005887147937620427
J2129-5721,322.3448623666667,-57.35394772777778,9.2431424643213437424,-9.6146350709043204323,54500,54500,54500,31.849763900369849431
J2145-0750,326.4602524958333,-7.83846885,-9.5349036347190785209,-8.9808667706858404329,55000,55000,55000,8.9973075453893039998
J2229+2643,337.4620225720833,26.732689188888887,-1.7115212619175504251,-5.9314445983000212083,55000,55000,55000,22.683931261979264814
J2317+1439,349.2884858925,14.658682361111111,-1.3566162824191558884,3.5894594557156643422,55000,55000,55000,21.902052954220210541
J2322+2057,350.59306347791664,20.950743502777776,-18.854062667378868354,-16.525119214329017111,55000,55000,55000,13.56240161419690287
