index,ra,dec,no,ra_h,ra_min,ra_sec,ra_err,dec_deg,dec_min,dec_sec,dec_err,epoch
1,19.229407,6.811601,1011,1,16,55.0576,1300,6,48,41.762,2000,1989.005
2,40.132025,61.229322,1022,2,40,31.686,8000,61,13,45.56,7000,1983.789
3,47.042201,40.955654,1026,3,8,10.1283,300,40,57,20.355,500,1983.567
4,47.042218,40.955644,1026,3,8,10.1323,1800,40,57,20.318,2000,1986.299
5,51.64725,28.715545,1028,3,26,35.3399,1000,28,42,55.962,500,1983.679
6,51.651403,28.715558,1028,3,26,36.3367,600,28,42,56.01,1000,1983.789
7,54.197184,0.5885,1029,3,36,47.3241,600,0,35,18.6,5000,1983.789
8,54.19721,0.588474,1029,3,36,47.3304,500,0,35,18.507,500,1983.68
9,64.560573,50.295789,1036,4,18,14.5375,2000,50,17,44.84,2000,1982.4322
10,84.053379,-1.201917,1056,5,36,12.811,1300,-1,12,6.903,2000,1986.218
11,85.165377,-20.298759,1060,5,40,39.6904,1400,-20,17,55.532,2000,1989.005
12,88.792807,7.407001,1063,5,55,10.2736,1300,7,24,25.204,2000,1982.4181
13,103.554371,-23.928375,1075,6,54,13.049,1000,-23,55,42.15,6000,1983.6781
14,110.201876,-5.259918,1080,7,20,48.4503,1300,-5,15,35.704,2000,1986.218
15,113.449896,-14.523917,1083,7,33,47.975,2000,-14,31,26.1,2000,1983.6782
16,120.649137,57.273914,1086,8,2,35.793,1000,57,16,26.09,1000,1982.4298
17,134.928187,-27.816142,1092,8,59,42.765,2000,-27,48,58.11,3000,1987.03
18,141.204432,-23.826207,1093,9,24,49.0638,1500,-23,49,34.344,2000,1989.005
19,150.008182,24.552896,1103,10,0,1.9637,1500,24,33,10.426,2000,1985.035
20,183.923065,72.551288,1128,12,15,41.5356,4400,72,33,4.638,2000,1985.035
21,197.654088,35.93475,1137,13,10,36.981,1000,35,56,5.1,1000,1982.4234
22,202.695283,24.232806,1140,13,30,46.868,1000,24,13,58.1,2000,1983.6324
23,203.698667,37.182458,1143,13,34,47.68,1000,37,10,56.85,1000,1982.3619
24,203.698712,37.18246,1143,13,34,47.6908,200,37,10,56.856,200,1983.567
25,218.951838,-18.036446,1155,14,35,48.4412,1400,-18,2,11.205,2000,1986.298
26,243.671256,33.858891,1172,16,14,41.101366,9,33,51,32.00937,13,1988.4148
27,243.671804,33.859042,1172,16,14,41.233,1000,33,51,32.55,1000,1982.3647
28,247.351992,-26.431831,1176,16,29,24.478,1000,-26,25,54.59,2000,1982.3619
29,249.766447,60.699874,1178,16,39,3.9472,2700,60,41,59.548,2000,1986.298
30,269.529208,15.139058,1189,17,58,7.01,1000,15,8,20.61,2000,1983.679
31,270.968512,-24.360692,1190,18,3,52.443,2000,-24,21,38.49,7000,1983.6328
32,275.844979,-12.681053,1197,18,23,22.795,1400,-12,40,51.79,2000,1983.6328
33,282.519971,33.362692,1201,18,50,4.793,1000,33,21,45.69,1000,1982.3648
34,287.108106,52.425944,1207,19,8,25.9454,2200,52,25,33.397,2000,1986.219
35,299.590335,35.201635,1219,19,58,21.6804,400,35,12,5.887,900,1983.567
36,305.116608,43.854528,1225,20,20,27.986,1000,43,51,16.3,1000,1982.42
37,308.093454,41.305275,1227,20,32,22.429,2000,41,18,18.99,2000,1983.6305
38,330.377704,43.890353,1246,22,1,30.649,2000,43,53,25.27,2000,1982.429
39,332.170437,45.742017,1250,22,8,40.905,1000,45,44,31.26,1000,1982.429
40,348.349008,2.675325,1263,23,13,23.762,1000,2,40,31.17,1000,1983.6305
41,348.349017,2.675364,1263,23,13,23.7641,500,2,40,31.31,4000,1983.567
42,358.763688,28.633508,1272,23,55,3.285,2000,28,38,0.63,1000,1982.4294
43,62.420267,-7.893233,2083,4,9,40.864,5000,-7,53,35.64,7000,1987.01
44,83.84111,-4.494224,2115,5,35,21.8664,1300,-4,29,39.206,2000,1985.035
45,84.696691,-2.594625,2117,5,38,47.2058,1300,-2,35,40.65,2000,1985.036
46,137.483445,54.488949,2195,9,9,56.0267,2300,54,29,20.216,2000,1986.298
47,228.386169,38.568519,2285,15,13,32.6806,1700,38,34,6.67,2000,1986.299
48,257.606668,48.965728,2340,17,10,25.6004,2000,48,57,56.62,2000,1986.298
49,263.172633,74.227212,2352,17,32,41.4319,4900,74,13,37.964,2000,1986.298
50,304.885081,38.731686,2442,20,19,32.4194,1700,38,43,54.068,2000,1985.035
