angDist,index,ra,dec,no,ra_hour,ra_min,ra_sec,ra_err,dec_deg,dec_min,dec_sec,dec_err,epoch,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.988223,1,19.229407,6.811601,1011,1,16,55.0576,1300,6,48,41.762,2000,1989.005,19.22966362740,6.81170309136,0.001,0.001,90,2576772264960362112,19.23003292458,0.0570,6.81179337307,0.0363,13.9522,0.0667,85.167,0.096,20.969,0.080,0,5.49432e+06,2.73274e+04,8.838582,2.73561e+06,4.30143e+04,9.258753,3.86148e+06,5.19578e+04,8.295036,0.963717,,,5340.63,0.5120,0.2670,1.26,1.161
0.160677,2,40.132025,61.229322,1022,2,40,31.686,8000,61,13,45.56,7000,1983.789,40.13193411800,61.22933087170,0.001,0.001,0,465645515129855872,40.13193146963,0.0285,61.22933052988,0.0300,0.3801,0.0380,-0.296,0.041,-0.079,0.067,1,1.31225e+06,1.27159e+03,10.393323,5.66375e+05,1.78851e+03,10.968629,1.07958e+06,3.48015e+03,9.678779,1.289850,,,4972.00,,,26.91,398.622
0.082386,3,47.042201,40.955654,1026,3,8,10.1283,300,40,57,20.355,500,1983.567,47.04222797270,40.95564357020,0.010,0.001,0,239863001382455424,47.04222797272,0.5512,40.95564357022,9.9666,,,,,,,0,3.46101e+08,4.06489e+07,4.340358,1.41183e+08,6.95848e+07,4.976932,7.33215e+08,1.10744e+08,2.598841,2.378091,,,4388.20,,,,
0.027158,4,47.042218,40.955644,1026,3,8,10.1323,1800,40,57,20.318,2000,1986.299,47.04222797270,40.95564357020,0.010,0.001,0,239863001382455424,47.04222797272,0.5512,40.95564357022,9.9666,,,,,,,0,3.46101e+08,4.06489e+07,4.340358,1.41183e+08,6.95848e+07,4.976932,7.33215e+08,1.10744e+08,2.598841,2.378091,,,4388.20,,,,
1.815230,5,51.64725,28.715545,1028,3,26,35.3399,1000,28,42,55.962,500,1983.679,51.64740170390,28.71505863920,0.008,0.006,90,118986060277836160,51.64762908756,0.2157,28.71461990962,0.1572,19.8129,0.2281,46.317,0.493,-101.899,0.359,0,5.54354e+07,4.86597e+05,6.328898,2.53072e+07,6.68272e+05,6.843279,4.41145e+07,1.18994e+06,5.650466,1.192813,,,4904.72,,,3.47,6.295
2.706836,7,54.197184,0.5885,1029,3,36,47.3241,600,0,35,18.6,5000,1983.789,54.19704626460,0.58776082282,0.002,0.002,90,3263936692671872384,54.19690463080,0.0682,0.58706430248,0.0542,33.7528,0.0866,-32.894,0.131,-161.772,0.118,0,1.08483e+08,5.30131e+05,5.599966,4.71428e+07,7.47136e+05,6.167850,8.39246e+07,1.40163e+06,4.952197,1.215653,,,4696.75,,,3.20,4.499
2.634226,8,54.19721,0.588474,1029,3,36,47.3304,500,0,35,18.507,500,1983.68,54.19704626460,0.58776082282,0.002,0.002,90,3263936692671872384,54.19690463080,0.0682,0.58706430248,0.0542,33.7528,0.0866,-32.894,0.131,-161.772,0.118,0,1.08483e+08,5.30131e+05,5.599966,4.71428e+07,7.47136e+05,6.167850,8.39246e+07,1.40163e+06,4.952197,1.215653,,,4696.75,,,3.20,4.499
1.327164,9,64.560573,50.295789,1036,4,18,14.5375,2000,50,17,44.84,2000,1982.4322,64.56092511890,50.29549692370,0.007,0.006,0,270632486391536512,64.56120427426,0.5672,50.29526045407,0.2573,9.5584,0.7627,41.419,0.412,-54.922,0.439,1,2.95654e+08,7.28912e+05,4.511408,1.98025e+08,4.77801e+05,4.609589,1.27565e+08,4.95712e+05,4.497592,0.111997,,,8541.00,0.3470,0.1710,,
0.367271,11,85.165377,-20.298759,1060,5,40,39.6904,1400,-20,17,55.532,2000,1989.005,85.16548541220,-20.29876732460,0.002,0.001,0,2965332699193320576,85.16560270312,0.0312,-20.29880018623,0.0432,5.5576,0.0465,25.550,0.068,-7.632,0.107,0,3.45365e+07,6.97680e+04,6.842671,1.46522e+07,9.47669e+04,7.436627,2.81538e+07,1.79821e+05,6.138078,1.298549,34.34,7.79,4804.61,0.0853,0.0382,10.32,51.163
0.146401,13,103.554371,-23.928375,1075,6,54,13.049,1000,-23,55,42.15,6000,1983.6781,103.55435035300,-23.92833897740,0.001,0.001,0,2922367976673391232,103.55432947927,0.0255,-23.92832655842,0.0428,0.4119,0.0503,-4.431,0.057,2.884,0.092,1,4.44895e+07,3.91712e+04,6.567721,3.24215e+07,1.10019e+05,6.574304,1.94740e+07,6.43508e+04,6.538281,0.036023,,,9593.00,0.1050,0.0530,,
